Ticker,Days Active,Strategy Return,BOVA11 Return (Same Period),Outperformance,Active Today,RS > EMA21,Price > EMAs,Strategy Return %,BOVA11 Return %,Outperformance %
ITUB4,751,1051.3853361082818,0.9372222702406354,1050.448113838041,True,True,True,105138.53361082818,93.72222702406354,105044.8113838041
CPLE3,478,81.25517213829436,-0.05111496654583014,81.30628710484018,False,False,True,8125.517213829436,-5.111496654583014,8130.628710484018
CEAB3,438,71.67696000780201,0.4366983403272495,71.24026166747475,False,False,False,7167.696000780201,43.66983403272495,7124.026166747475
CURY3,623,47.41716422968578,0.8810406132006008,46.53612361648518,False,False,True,4741.716422968578,88.10406132006008,4653.612361648517
COGN3,348,36.046603489014394,1.0265110448206571,35.020092444193736,True,True,True,3604.6603489014396,102.65110448206572,3502.0092444193738
MBRF3,491,33.15048361913627,-0.20086949878686933,33.35135311792314,False,False,False,3315.0483619136266,-20.086949878686934,3335.135311792314
POMO4,544,30.88201854969161,0.3611304807906659,30.520888068900945,False,False,True,3088.201854969161,36.11304807906659,3052.0888068900945
DIRR3,571,23.916512763307303,0.3734144038641001,23.543098359443203,False,False,False,2391.65127633073,37.34144038641001,2354.30983594432
PETR3,617,22.076635877450205,0.13332220493428149,21.943313672515924,True,True,True,2207.6635877450203,13.33222049342815,2194.3313672515924
PETR4,602,20.024011019383146,0.19848417453867584,19.825526844844468,True,True,True,2002.4011019383145,19.848417453867583,1982.552684484447
CSMG3,566,19.86608419537843,0.33361701417977363,19.53246718119866,True,True,True,1986.608419537843,33.361701417977365,1953.2467181198658
YDUQ3,263,15.563604056300012,0.46168049400465283,15.101923562295358,True,True,True,1556.3604056300012,46.168049400465286,1510.1923562295358
AXIA6,529,14.880472992317568,0.8179150819313266,14.062557910386241,True,True,True,1488.0472992317568,81.79150819313266,1406.255791038624
VIVA3,451,14.574375898485602,0.5979615358064787,13.976414362679124,False,False,False,1457.4375898485603,59.79615358064787,1397.6414362679125
PRIO3,426,12.133518708070769,0.03803878273913286,12.095479925331636,True,True,True,1213.351870807077,3.803878273913286,1209.5479925331636
BPAC11,488,11.844529242805768,1.037266629513383,10.807262613292385,False,False,True,1184.4529242805768,103.7266629513383,1080.7262613292385
CYRE3,446,10.40498554748822,0.5072877913229696,9.89769775616525,False,True,True,1040.498554748822,50.728779132296964,989.7697756165251
RECV3,355,9.772638186144226,-0.06517941258006321,9.837817598724289,False,False,True,977.2638186144226,-6.517941258006321,983.7817598724289
ASAI3,392,9.927748033658311,0.2424582936816979,9.685289739976612,False,True,True,992.7748033658311,24.24582936816979,968.5289739976613
CMIN3,355,9.72184235994957,0.3223522064650728,9.399490153484496,False,False,True,972.1842359949569,32.23522064650728,939.9490153484496
SBSP3,565,9.575771838068142,0.30005503012694024,9.275716807941203,False,False,True,957.5771838068142,30.005503012694025,927.5716807941203
BBAS3,564,9.35193265216198,0.3040563265112486,9.04787632565073,True,True,True,935.1932652161979,30.405632651124858,904.787632565073
BEEF3,337,9.057212649907747,0.19977476376912628,8.857437886138621,True,True,True,905.7212649907747,19.977476376912627,885.7437886138621
AXIA3,485,9.287576815395242,0.5362850093448843,8.751291806050357,True,True,True,928.7576815395242,53.62850093448843,875.1291806050357
SMFT3,369,9.033265136647588,0.7356462830849744,8.297618853562613,False,False,False,903.3265136647587,73.56462830849743,829.7618853562612
MRVE3,274,8.786565752699323,0.7513219004759142,8.03524385222341,False,False,True,878.6565752699323,75.13219004759142,803.5243852223409
GGBR4,407,7.8193154681767165,-0.0030002670916046137,7.8223157352683215,False,False,True,781.9315468176717,-0.30002670916046137,782.2315735268321
B3SA3,326,8.699229093477578,1.0695335271030952,7.629695566374483,False,False,True,869.9229093477578,106.95335271030953,762.9695566374484
CXSE3,445,7.236467766306609,-0.1182752233131078,7.354742989619717,False,False,True,723.6467766306608,-11.82752233131078,735.4742989619717
CSNA3,274,7.3410639397224156,0.25274482055399616,7.088319119168419,False,False,True,734.1063939722416,25.274482055399616,708.8319119168419
TIMS3,489,7.175217558743315,0.10525074097519571,7.069966817768119,False,False,True,717.5217558743315,10.525074097519571,706.9966817768119
PSSA3,510,6.416314829118139,-0.25103270797433164,6.667347537092471,False,False,True,641.6314829118139,-25.103270797433165,666.7347537092471
VBBR3,406,7.001401375815069,0.3819039232096946,6.6194974526053745,True,True,True,700.1401375815069,38.19039232096946,661.9497452605375
TOTS3,403,6.765586573843171,0.22763969095327896,6.537946882889893,False,False,True,676.5586573843171,22.763969095327894,653.7946882889893
USIM5,301,6.65160839573206,0.261038199088131,6.390570196643929,False,False,True,665.160839573206,26.103819908813097,639.0570196643929
GOAU4,405,6.241363286774118,0.02056322406038369,6.220800062713734,False,False,False,624.1363286774118,2.056322406038369,622.0800062713735
BBDC4,372,7.356220968821123,1.1716378374505374,6.1845831313705855,True,True,True,735.6220968821124,117.16378374505373,618.4583131370586
UGPA3,388,6.527581759060641,0.42355888304745837,6.1040228760131825,True,True,True,652.758175906064,42.35588830474584,610.4022876013182
BRKM5,263,5.907911548227105,-0.04755734918858079,5.9554688974156855,False,False,True,590.7911548227105,-4.755734918858079,595.5468897415685
RDOR3,354,6.351140949265199,0.5055954801813354,5.845545469083864,False,False,False,635.1140949265199,50.55954801813354,584.5545469083863
VAMO3,284,5.849836517324255,0.12775521483106966,5.722081302493185,True,True,True,584.9836517324255,12.775521483106967,572.2081302493185
HYPE3,352,5.732602854705148,0.1496653690312708,5.582937485673877,False,False,True,573.2602854705149,14.966536903127082,558.2937485673878
